,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.0628,48.250000, 46.75000
2, 46.750000  48.750000,-0.82142,48.750000, 46.75000
3, 46.750000  49.250000,-0.61788,49.250000, 46.75000
4, 46.750000  49.750000,-0.59918,49.750000, 46.75000
5, 47.250000  47.750000,-1.0078,47.750000, 47.25000
6, 47.250000  48.250000,-1.0382,48.250000, 47.25000
7, 47.250000  48.750000,-1.0095,48.750000, 47.25000
8, 47.250000  49.250000,-0.74784,49.250000, 47.25000
9, 47.250000  49.750000,-0.69651,49.750000, 47.25000
10, 47.250000  50.250000,-0.72037,50.250000, 47.25000
11, 47.750000  47.750000,-1.1115,47.750000, 47.75000
12, 47.750000  48.250000,-1.036,48.250000, 47.75000
13, 47.750000  48.750000,-0.93627,48.750000, 47.75000
14, 47.750000  49.250000,-0.89379,49.250000, 47.75000
15, 47.750000  49.750000,-0.76805,49.750000, 47.75000
16, 47.750000  50.250000,-0.73682,50.250000, 47.75000
17, 48.250000  47.750000,-1.3516,47.750000, 48.25000
18, 48.250000  48.250000,-1.2869,48.250000, 48.25000
19, 48.250000  48.750000,-1.1943,48.750000, 48.25000
20, 48.250000  49.250000,-0.91563,49.250000, 48.25000
21, 48.250000  49.750000,-0.89681,49.750000, 48.25000
22, 48.250000  50.250000,-0.89628,50.250000, 48.25000
23, 48.250000  50.750000,-0.98162,50.750000, 48.25000
24, 48.750000  46.250000,-1.5019,46.250000, 48.75000
25, 48.750000  46.750000,-1.3852,46.750000, 48.75000
26, 48.750000  47.250000,-1.4243,47.250000, 48.75000
27, 48.750000  47.750000,-1.2386,47.750000, 48.75000
28, 48.750000  48.250000,-1.2219,48.250000, 48.75000
29, 48.750000  48.750000,-1.1339,48.750000, 48.75000
30, 48.750000  49.250000,-1.0263,49.250000, 48.75000
31, 48.750000  49.750000,-0.88334,49.750000, 48.75000
32, 48.750000  50.250000,-0.89222,50.250000, 48.75000
33, 48.750000  50.750000,-0.91082,50.750000, 48.75000
34, 49.250000  46.750000,-1.464,46.750000, 49.25000
35, 49.250000  47.250000,-1.3854,47.250000, 49.25000
36, 49.250000  47.750000,-1.3968,47.750000, 49.25000
37, 49.250000  48.250000,-1.2201,48.250000, 49.25000
38, 49.250000  48.750000,-1.2356,48.750000, 49.25000
39, 49.250000  49.250000,-1.1065,49.250000, 49.25000
40, 49.250000  49.750000,-0.97808,49.750000, 49.25000
41, 49.250000  50.250000,-1.0444,50.250000, 49.25000
42, 49.250000  50.750000,-1.0363,50.750000, 49.25000
43, 49.750000  46.750000,-1.3731,46.750000, 49.75000
44, 49.750000  47.250000,-1.3098,47.250000, 49.75000
45, 49.750000  47.750000,-1.3684,47.750000, 49.75000
46, 49.750000  48.250000,-1.2028,48.250000, 49.75000
47, 49.750000  48.750000,-1.2014,48.750000, 49.75000
48, 49.750000  49.250000,-1.1783,49.250000, 49.75000
49, 49.750000  49.750000,-1.0756,49.750000, 49.75000
50, 49.750000  50.250000,-1.1054,50.250000, 49.75000
51, 49.750000  50.750000,-1.0359,50.750000, 49.75000
52, 49.750000  51.250000,-1.0613,51.250000, 49.75000
53, 50.250000  44.250000,-1.6693,44.250000, 50.25000
54, 50.250000  44.750000,-1.8065,44.750000, 50.25000
55, 50.250000  46.750000,-1.5042,46.750000, 50.25000
56, 50.250000  47.250000,-1.3069,47.250000, 50.25000
57, 50.250000  47.750000,-1.357,47.750000, 50.25000
58, 50.250000  48.250000,-1.205,48.250000, 50.25000
59, 50.250000  48.750000,-1.1708,48.750000, 50.25000
60, 50.250000  49.250000,-1.2667,49.250000, 50.25000
61, 50.250000  49.750000,-1.044,49.750000, 50.25000
62, 50.250000  50.250000,-1.0365,50.250000, 50.25000
63, 50.250000  50.750000,-1.1074,50.750000, 50.25000
64, 50.250000  51.250000,-1.1357,51.250000, 50.25000
65, 50.750000  44.250000,-1.5346,44.250000, 50.75000
66, 50.750000  44.750000,-1.6645,44.750000, 50.75000
67, 50.750000  47.250000,-1.3629,47.250000, 50.75000
68, 50.750000  47.750000,-1.2357,47.750000, 50.75000
69, 50.750000  48.250000,-1.2782,48.250000, 50.75000
70, 50.750000  48.750000,-1.24,48.750000, 50.75000
71, 50.750000  49.250000,-1.2283,49.250000, 50.75000
72, 50.750000  49.750000,-1.0824,49.750000, 50.75000
73, 50.750000  50.250000,-1.1318,50.250000, 50.75000
74, 50.750000  50.750000,-1.1401,50.750000, 50.75000
75, 50.750000  51.250000,-1.0149,51.250000, 50.75000
76, 50.750000  51.750000,-1.1175,51.750000, 50.75000
77, 51.250000  44.250000,-1.5518,44.250000, 51.25000
78, 51.250000  44.750000,-1.5851,44.750000, 51.25000
79, 51.250000  47.250000,-1.4836,47.250000, 51.25000
80, 51.250000  47.750000,-1.3044,47.750000, 51.25000
81, 51.250000  48.250000,-1.2144,48.250000, 51.25000
82, 51.250000  48.750000,-1.2737,48.750000, 51.25000
83, 51.250000  49.250000,-1.287,49.250000, 51.25000
84, 51.250000  49.750000,-1.1673,49.750000, 51.25000
85, 51.250000  50.250000,-1.0958,50.250000, 51.25000
86, 51.250000  50.750000,-0.99356,50.750000, 51.25000
87, 51.250000  51.250000,-0.99302,51.250000, 51.25000
88, 51.250000  51.750000,-1.074,51.750000, 51.25000
89, 51.750000  42.750000,-1.3568,42.750000, 51.75000
90, 51.750000  43.250000,-1.3625,43.250000, 51.75000
91, 51.750000  43.750000,-1.3739,43.750000, 51.75000
92, 51.750000  44.250000,-1.4004,44.250000, 51.75000
93, 51.750000  44.750000,-1.5319,44.750000, 51.75000
94, 51.750000  45.250000,-1.6132,45.250000, 51.75000
95, 51.750000  47.250000,-1.4078,47.250000, 51.75000
96, 51.750000  47.750000,-1.2857,47.750000, 51.75000
97, 51.750000  48.250000,-1.2103,48.250000, 51.75000
98, 51.750000  48.750000,-1.1538,48.750000, 51.75000
99, 51.750000  49.250000,-1.1089,49.250000, 51.75000
100, 51.750000  49.750000,-1.1052,49.750000, 51.75000
101, 51.750000  50.250000,-1.1048,50.250000, 51.75000
102, 51.750000  50.750000,-1.0861,50.750000, 51.75000
103, 51.750000  51.250000,-0.98898,51.250000, 51.75000
104, 51.750000  51.750000,-0.96658,51.750000, 51.75000
105, 52.250000  42.250000,-1.5068,42.250000, 52.25000
106, 52.250000  42.750000,-1.2521,42.750000, 52.25000
107, 52.250000  43.250000,-1.2855,43.250000, 52.25000
108, 52.250000  43.750000,-1.3747,43.750000, 52.25000
109, 52.250000  44.250000,-1.3228,44.250000, 52.25000
110, 52.250000  44.750000,-1.48,44.750000, 52.25000
111, 52.250000  45.250000,-1.6422,45.250000, 52.25000
112, 52.250000  45.750000,-1.6105,45.750000, 52.25000
113, 52.250000  47.250000,-1.3193,47.250000, 52.25000
114, 52.250000  47.750000,-1.2686,47.750000, 52.25000
115, 52.250000  48.250000,-1.2298,48.250000, 52.25000
116, 52.250000  48.750000,-1.1097,48.750000, 52.25000
117, 52.250000  49.250000,-1.1123,49.250000, 52.25000
118, 52.250000  49.750000,-1.1093,49.750000, 52.25000
119, 52.250000  50.250000,-0.9576,50.250000, 52.25000
120, 52.250000  50.750000,-0.97402,50.750000, 52.25000
121, 52.250000  51.250000,-0.94308,51.250000, 52.25000
122, 52.250000  51.750000,-1.0869,51.750000, 52.25000
123, 52.750000  41.750000,-1.3923,41.750000, 52.75000
124, 52.750000  42.250000,-1.5663,42.250000, 52.75000
125, 52.750000  42.750000,-1.4308,42.750000, 52.75000
126, 52.750000  43.250000,-1.3208,43.250000, 52.75000
127, 52.750000  43.750000,-1.2771,43.750000, 52.75000
128, 52.750000  44.250000,-1.3251,44.250000, 52.75000
129, 52.750000  44.750000,-1.4954,44.750000, 52.75000
130, 52.750000  45.250000,-1.5717,45.250000, 52.75000
131, 52.750000  45.750000,-1.5117,45.750000, 52.75000
132, 52.750000  47.250000,-1.1885,47.250000, 52.75000
133, 52.750000  47.750000,-1.3018,47.750000, 52.75000
134, 52.750000  48.250000,-1.1517,48.250000, 52.75000
135, 52.750000  48.750000,-1.1517,48.750000, 52.75000
136, 52.750000  49.250000,-1.0011,49.250000, 52.75000
137, 52.750000  49.750000,-1.0163,49.750000, 52.75000
138, 52.750000  50.250000,-1.0121,50.250000, 52.75000
139, 52.750000  50.750000,-1.0325,50.750000, 52.75000
140, 52.750000  51.250000,-1.0055,51.250000, 52.75000
141, 53.250000  41.750000,-1.4153,41.750000, 53.25000
142, 53.250000  42.250000,-1.6358,42.250000, 53.25000
143, 53.250000  42.750000,-1.4563,42.750000, 53.25000
144, 53.250000  43.250000,-1.5193,43.250000, 53.25000
145, 53.250000  43.750000,-1.389,43.750000, 53.25000
146, 53.250000  44.250000,-1.4504,44.250000, 53.25000
147, 53.250000  44.750000,-1.4839,44.750000, 53.25000
148, 53.250000  45.250000,-1.3633,45.250000, 53.25000
149, 53.250000  45.750000,-1.489,45.750000, 53.25000
150, 53.250000  46.250000,-1.4782,46.250000, 53.25000
151, 53.250000  46.750000,-1.3838,46.750000, 53.25000
152, 53.250000  47.250000,-1.2932,47.250000, 53.25000
153, 53.250000  47.750000,-1.1889,47.750000, 53.25000
154, 53.250000  48.250000,-1.1646,48.250000, 53.25000
155, 53.250000  48.750000,-1.0178,48.750000, 53.25000
156, 53.250000  49.250000,-1.0088,49.250000, 53.25000
157, 53.250000  49.750000,-0.9093,49.750000, 53.25000
158, 53.250000  50.250000,-0.86432,50.250000, 53.25000
159, 53.250000  50.750000,-0.89005,50.750000, 53.25000
160, 53.250000  51.250000,-0.9431,51.250000, 53.25000
161, 53.750000  42.250000,-1.3239,42.250000, 53.75000
162, 53.750000  42.750000,-1.6451,42.750000, 53.75000
163, 53.750000  43.250000,-1.5635,43.250000, 53.75000
164, 53.750000  43.750000,-1.4798,43.750000, 53.75000
165, 53.750000  44.250000,-1.4391,44.250000, 53.75000
166, 53.750000  44.750000,-1.4601,44.750000, 53.75000
167, 53.750000  45.250000,-1.5349,45.250000, 53.75000
168, 53.750000  45.750000,-1.5505,45.750000, 53.75000
169, 53.750000  46.250000,-1.3365,46.250000, 53.75000
170, 53.750000  46.750000,-1.2705,46.750000, 53.75000
171, 53.750000  47.250000,-1.2328,47.250000, 53.75000
172, 53.750000  47.750000,-1.164,47.750000, 53.75000
173, 53.750000  48.250000,-1.1982,48.250000, 53.75000
174, 53.750000  48.750000,-1.0449,48.750000, 53.75000
175, 53.750000  49.250000,-1.0151,49.250000, 53.75000
176, 53.750000  49.750000,-0.94748,49.750000, 53.75000
177, 53.750000  50.250000,-0.92733,50.250000, 53.75000
178, 53.750000  50.750000,-0.82821,50.750000, 53.75000
179, 53.750000  51.250000,-0.87113,51.250000, 53.75000
180, 54.250000  42.250000,-1.4445,42.250000, 54.25000
181, 54.250000  42.750000,-1.4041,42.750000, 54.25000
182, 54.250000  43.250000,-1.4738,43.250000, 54.25000
183, 54.250000  43.750000,-1.3693,43.750000, 54.25000
184, 54.250000  44.250000,-1.5668,44.250000, 54.25000
185, 54.250000  44.750000,-1.6012,44.750000, 54.25000
186, 54.250000  45.250000,-1.5309,45.250000, 54.25000
