,Cell,SPEI,lat,lon
1, 46.750000  48.250000,0.071249,48.250000, 46.75000
2, 46.750000  48.750000,0.13306,48.750000, 46.75000
3, 46.750000  49.250000,0.21204,49.250000, 46.75000
4, 46.750000  49.750000,0.39838,49.750000, 46.75000
5, 47.250000  47.750000,-0.080389,47.750000, 47.25000
6, 47.250000  48.250000,-0.059077,48.250000, 47.25000
7, 47.250000  48.750000,-0.065529,48.750000, 47.25000
8, 47.250000  49.250000,0.0313,49.250000, 47.25000
9, 47.250000  49.750000,0.35567,49.750000, 47.25000
10, 47.250000  50.250000,0.40827,50.250000, 47.25000
11, 47.750000  47.750000,-0.40805,47.750000, 47.75000
12, 47.750000  48.250000,-0.24252,48.250000, 47.75000
13, 47.750000  48.750000,0.16751,48.750000, 47.75000
14, 47.750000  49.250000,-0.078435,49.250000, 47.75000
15, 47.750000  49.750000,0.31953,49.750000, 47.75000
16, 47.750000  50.250000,0.17955,50.250000, 47.75000
17, 48.250000  47.750000,-0.39843,47.750000, 48.25000
18, 48.250000  48.250000,-0.39771,48.250000, 48.25000
19, 48.250000  48.750000,-0.37557,48.750000, 48.25000
20, 48.250000  49.250000,0.066108,49.250000, 48.25000
21, 48.250000  49.750000,0.089037,49.750000, 48.25000
22, 48.250000  50.250000,0.38749,50.250000, 48.25000
23, 48.250000  50.750000,0.2909,50.750000, 48.25000
24, 48.750000  46.250000,-0.76788,46.250000, 48.75000
25, 48.750000  46.750000,-0.61623,46.750000, 48.75000
26, 48.750000  47.250000,-0.74374,47.250000, 48.75000
27, 48.750000  47.750000,-0.4728,47.750000, 48.75000
28, 48.750000  48.250000,-0.57083,48.250000, 48.75000
29, 48.750000  48.750000,-0.11825,48.750000, 48.75000
30, 48.750000  49.250000,0.0054895,49.250000, 48.75000
31, 48.750000  49.750000,0.044462,49.750000, 48.75000
32, 48.750000  50.250000,0.11298,50.250000, 48.75000
33, 48.750000  50.750000,0.31194,50.750000, 48.75000
34, 49.250000  46.750000,-0.73658,46.750000, 49.25000
35, 49.250000  47.250000,-0.83859,47.250000, 49.25000
36, 49.250000  47.750000,-0.67974,47.750000, 49.25000
37, 49.250000  48.250000,-0.67342,48.250000, 49.25000
38, 49.250000  48.750000,-0.34718,48.750000, 49.25000
39, 49.250000  49.250000,-0.13572,49.250000, 49.25000
40, 49.250000  49.750000,-0.12318,49.750000, 49.25000
41, 49.250000  50.250000,-0.02763,50.250000, 49.25000
42, 49.250000  50.750000,0.29192,50.750000, 49.25000
43, 49.750000  46.750000,-1.1731,46.750000, 49.75000
44, 49.750000  47.250000,-0.93912,47.250000, 49.75000
45, 49.750000  47.750000,-0.81013,47.750000, 49.75000
46, 49.750000  48.250000,-0.50922,48.250000, 49.75000
47, 49.750000  48.750000,-0.75282,48.750000, 49.75000
48, 49.750000  49.250000,-0.33876,49.250000, 49.75000
49, 49.750000  49.750000,-0.24104,49.750000, 49.75000
50, 49.750000  50.250000,-0.20997,50.250000, 49.75000
51, 49.750000  50.750000,0.24909,50.750000, 49.75000
52, 49.750000  51.250000,0.26586,51.250000, 49.75000
