,Cell,SPEI,lat,lon
94, 51.750000  45.250000,-2.0558,45.250000, 51.75000
95, 51.750000  47.250000,-1.7769,47.250000, 51.75000
96, 51.750000  47.750000,-1.6909,47.750000, 51.75000
97, 51.750000  48.250000,-1.6858,48.250000, 51.75000
98, 51.750000  48.750000,-1.4573,48.750000, 51.75000
99, 51.750000  49.250000,-1.352,49.250000, 51.75000
100, 51.750000  49.750000,-1.2561,49.750000, 51.75000
101, 51.750000  50.250000,-1.1161,50.250000, 51.75000
102, 51.750000  50.750000,-0.99924,50.750000, 51.75000
103, 51.750000  51.250000,-0.94993,51.250000, 51.75000
104, 51.750000  51.750000,-0.89465,51.750000, 51.75000
105, 52.250000  42.250000,-1.9534,42.250000, 52.25000
106, 52.250000  42.750000,-1.852,42.750000, 52.25000
107, 52.250000  43.250000,-1.9051,43.250000, 52.25000
108, 52.250000  43.750000,-1.9862,43.750000, 52.25000
109, 52.250000  44.250000,-1.9006,44.250000, 52.25000
110, 52.250000  44.750000,-2.0048,44.750000, 52.25000
111, 52.250000  45.250000,-2.0899,45.250000, 52.25000
112, 52.250000  45.750000,-1.9258,45.750000, 52.25000
113, 52.250000  47.250000,-1.7754,47.250000, 52.25000
114, 52.250000  47.750000,-1.6851,47.750000, 52.25000
115, 52.250000  48.250000,-1.5665,48.250000, 52.25000
116, 52.250000  48.750000,-1.4237,48.750000, 52.25000
117, 52.250000  49.250000,-1.303,49.250000, 52.25000
118, 52.250000  49.750000,-1.2412,49.750000, 52.25000
119, 52.250000  50.250000,-1.077,50.250000, 52.25000
120, 52.250000  50.750000,-0.99571,50.750000, 52.25000
121, 52.250000  51.250000,-0.96738,51.250000, 52.25000
122, 52.250000  51.750000,-0.94614,51.750000, 52.25000
123, 52.750000  41.750000,-1.8852,41.750000, 52.75000
124, 52.750000  42.250000,-2.0129,42.250000, 52.75000
125, 52.750000  42.750000,-2.0111,42.750000, 52.75000
126, 52.750000  43.250000,-1.9772,43.250000, 52.75000
127, 52.750000  43.750000,-1.9916,43.750000, 52.75000
128, 52.750000  44.250000,-1.9581,44.250000, 52.75000
129, 52.750000  44.750000,-1.9739,44.750000, 52.75000
130, 52.750000  45.250000,-1.9891,45.250000, 52.75000
