,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.1621,48.250000, 46.75000
2, 46.750000  48.750000,-1.3443,48.750000, 46.75000
3, 46.750000  49.250000,-1.5821,49.250000, 46.75000
4, 46.750000  49.750000,-1.6706,49.750000, 46.75000
5, 47.250000  47.750000,-1.2594,47.750000, 47.25000
6, 47.250000  48.250000,-1.256,48.250000, 47.25000
7, 47.250000  48.750000,-1.5041,48.750000, 47.25000
8, 47.250000  49.250000,-1.6432,49.250000, 47.25000
9, 47.250000  49.750000,-1.6568,49.750000, 47.25000
10, 47.250000  50.250000,-1.653,50.250000, 47.25000
11, 47.750000  47.750000,-1.2501,47.750000, 47.75000
12, 47.750000  48.250000,-1.3419,48.250000, 47.75000
13, 47.750000  48.750000,-1.5778,48.750000, 47.75000
14, 47.750000  49.250000,-1.6363,49.250000, 47.75000
15, 47.750000  49.750000,-1.6006,49.750000, 47.75000
16, 47.750000  50.250000,-1.6513,50.250000, 47.75000
17, 48.250000  47.750000,-1.3319,47.750000, 48.25000
18, 48.250000  48.250000,-1.4278,48.250000, 48.25000
19, 48.250000  48.750000,-1.5426,48.750000, 48.25000
20, 48.250000  49.250000,-1.6957,49.250000, 48.25000
21, 48.250000  49.750000,-1.5865,49.750000, 48.25000
22, 48.250000  50.250000,-1.607,50.250000, 48.25000
23, 48.250000  50.750000,-1.5964,50.750000, 48.25000
24, 48.750000  46.250000,-1.2487,46.250000, 48.75000
25, 48.750000  46.750000,-1.4196,46.750000, 48.75000
26, 48.750000  47.250000,-1.3312,47.250000, 48.75000
27, 48.750000  47.750000,-1.3466,47.750000, 48.75000
28, 48.750000  48.250000,-1.4143,48.250000, 48.75000
29, 48.750000  48.750000,-1.5692,48.750000, 48.75000
30, 48.750000  49.250000,-1.5907,49.250000, 48.75000
31, 48.750000  49.750000,-1.5898,49.750000, 48.75000
32, 48.750000  50.250000,-1.5994,50.250000, 48.75000
33, 48.750000  50.750000,-1.6113,50.750000, 48.75000
34, 49.250000  46.750000,-1.442,46.750000, 49.25000
35, 49.250000  47.250000,-1.4555,47.250000, 49.25000
36, 49.250000  47.750000,-1.3735,47.750000, 49.25000
37, 49.250000  48.250000,-1.4241,48.250000, 49.25000
38, 49.250000  48.750000,-1.5426,48.750000, 49.25000
39, 49.250000  49.250000,-1.4651,49.250000, 49.25000
40, 49.250000  49.750000,-1.553,49.750000, 49.25000
41, 49.250000  50.250000,-1.5785,50.250000, 49.25000
42, 49.250000  50.750000,-1.4958,50.750000, 49.25000
43, 49.750000  46.750000,-1.5136,46.750000, 49.75000
44, 49.750000  47.250000,-1.4716,47.250000, 49.75000
45, 49.750000  47.750000,-1.3908,47.750000, 49.75000
46, 49.750000  48.250000,-1.4254,48.250000, 49.75000
47, 49.750000  48.750000,-1.4017,48.750000, 49.75000
48, 49.750000  49.250000,-1.4029,49.250000, 49.75000
49, 49.750000  49.750000,-1.4452,49.750000, 49.75000
50, 49.750000  50.250000,-1.5196,50.250000, 49.75000
51, 49.750000  50.750000,-1.5566,50.750000, 49.75000
52, 49.750000  51.250000,-1.4381,51.250000, 49.75000
53, 50.250000  44.250000,-1.6293,44.250000, 50.25000
54, 50.250000  44.750000,-1.6191,44.750000, 50.25000
55, 50.250000  46.750000,-1.5121,46.750000, 50.25000
56, 50.250000  47.250000,-1.4132,47.250000, 50.25000
57, 50.250000  47.750000,-1.3535,47.750000, 50.25000
58, 50.250000  48.250000,-1.3793,48.250000, 50.25000
59, 50.250000  48.750000,-1.2874,48.750000, 50.25000
60, 50.250000  49.250000,-1.2979,49.250000, 50.25000
61, 50.250000  49.750000,-1.2649,49.750000, 50.25000
62, 50.250000  50.250000,-1.4731,50.250000, 50.25000
63, 50.250000  50.750000,-1.3883,50.750000, 50.25000
64, 50.250000  51.250000,-1.3967,51.250000, 50.25000
65, 50.750000  44.250000,-1.4711,44.250000, 50.75000
