,Cell,SPEI,lat,lon
1, 46.750000  48.250000,1.5692,48.250000, 46.75000
2, 46.750000  48.750000,1.4954,48.750000, 46.75000
3, 46.750000  49.250000,1.4156,49.250000, 46.75000
4, 46.750000  49.750000,1.4336,49.750000, 46.75000
5, 47.250000  47.750000,1.6303,47.750000, 47.25000
6, 47.250000  48.250000,1.5275,48.250000, 47.25000
7, 47.250000  48.750000,1.4004,48.750000, 47.25000
8, 47.250000  49.250000,1.3581,49.250000, 47.25000
9, 47.250000  49.750000,1.3995,49.750000, 47.25000
10, 47.250000  50.250000,1.4056,50.250000, 47.25000
11, 47.750000  47.750000,1.5913,47.750000, 47.75000
12, 47.750000  48.250000,1.4548,48.250000, 47.75000
13, 47.750000  48.750000,1.3012,48.750000, 47.75000
14, 47.750000  49.250000,1.4141,49.250000, 47.75000
15, 47.750000  49.750000,1.3525,49.750000, 47.75000
16, 47.750000  50.250000,1.357,50.250000, 47.75000
17, 48.250000  47.750000,1.4678,47.750000, 48.25000
18, 48.250000  48.250000,1.3548,48.250000, 48.25000
19, 48.250000  48.750000,1.2312,48.750000, 48.25000
20, 48.250000  49.250000,1.1546,49.250000, 48.25000
21, 48.250000  49.750000,1.254,49.750000, 48.25000
22, 48.250000  50.250000,1.287,50.250000, 48.25000
23, 48.250000  50.750000,1.3092,50.750000, 48.25000
24, 48.750000  46.250000,1.3756,46.250000, 48.75000
25, 48.750000  46.750000,1.2956,46.750000, 48.75000
26, 48.750000  47.250000,1.4908,47.250000, 48.75000
27, 48.750000  47.750000,1.0949,47.750000, 48.75000
28, 48.750000  48.250000,1.2976,48.250000, 48.75000
29, 48.750000  48.750000,1.1462,48.750000, 48.75000
30, 48.750000  49.250000,1.0785,49.250000, 48.75000
31, 48.750000  49.750000,1.2158,49.750000, 48.75000
32, 48.750000  50.250000,1.2075,50.250000, 48.75000
33, 48.750000  50.750000,1.2377,50.750000, 48.75000
34, 49.250000  46.750000,1.2214,46.750000, 49.25000
35, 49.250000  47.250000,1.1123,47.250000, 49.25000
36, 49.250000  47.750000,1.0414,47.750000, 49.25000
37, 49.250000  48.250000,1.13,48.250000, 49.25000
38, 49.250000  48.750000,0.97695,48.750000, 49.25000
39, 49.250000  49.250000,0.93778,49.250000, 49.25000
40, 49.250000  49.750000,0.97196,49.750000, 49.25000
41, 49.250000  50.250000,1.1554,50.250000, 49.25000
42, 49.250000  50.750000,1.1433,50.750000, 49.25000
43, 49.750000  46.750000,1.0265,46.750000, 49.75000
44, 49.750000  47.250000,1.0741,47.250000, 49.75000
45, 49.750000  47.750000,1.2772,47.750000, 49.75000
46, 49.750000  48.250000,1.1364,48.250000, 49.75000
47, 49.750000  48.750000,0.94038,48.750000, 49.75000
48, 49.750000  49.250000,1.0136,49.250000, 49.75000
49, 49.750000  49.750000,0.93481,49.750000, 49.75000
50, 49.750000  50.250000,1.0629,50.250000, 49.75000
51, 49.750000  50.750000,1.036,50.750000, 49.75000
52, 49.750000  51.250000,1.0232,51.250000, 49.75000
53, 50.250000  44.250000,0.67002,44.250000, 50.25000
54, 50.250000  44.750000,0.59735,44.750000, 50.25000
55, 50.250000  46.750000,1.0007,46.750000, 50.25000
56, 50.250000  47.250000,0.87495,47.250000, 50.25000
57, 50.250000  47.750000,1.2098,47.750000, 50.25000
58, 50.250000  48.250000,1.0467,48.250000, 50.25000
59, 50.250000  48.750000,0.88134,48.750000, 50.25000
60, 50.250000  49.250000,0.81325,49.250000, 50.25000
61, 50.250000  49.750000,0.98716,49.750000, 50.25000
62, 50.250000  50.250000,0.94971,50.250000, 50.25000
63, 50.250000  50.750000,0.99981,50.750000, 50.25000
64, 50.250000  51.250000,0.91714,51.250000, 50.25000
65, 50.750000  44.250000,0.44435,44.250000, 50.75000
66, 50.750000  44.750000,0.34402,44.750000, 50.75000
67, 50.750000  47.250000,0.88825,47.250000, 50.75000
68, 50.750000  47.750000,1.0844,47.750000, 50.75000
69, 50.750000  48.250000,0.8414,48.250000, 50.75000
70, 50.750000  48.750000,0.85434,48.750000, 50.75000
71, 50.750000  49.250000,0.74876,49.250000, 50.75000
72, 50.750000  49.750000,0.70297,49.750000, 50.75000
73, 50.750000  50.250000,0.81386,50.250000, 50.75000
74, 50.750000  50.750000,0.84213,50.750000, 50.75000
75, 50.750000  51.250000,0.89186,51.250000, 50.75000
76, 50.750000  51.750000,0.83874,51.750000, 50.75000
77, 51.250000  44.250000,0.48881,44.250000, 51.25000
78, 51.250000  44.750000,0.59333,44.750000, 51.25000
79, 51.250000  47.250000,0.7082,47.250000, 51.25000
80, 51.250000  47.750000,0.56629,47.750000, 51.25000
81, 51.250000  48.250000,0.73913,48.250000, 51.25000
82, 51.250000  48.750000,0.96966,48.750000, 51.25000
83, 51.250000  49.250000,0.55793,49.250000, 51.25000
84, 51.250000  49.750000,0.74867,49.750000, 51.25000
85, 51.250000  50.250000,0.74659,50.250000, 51.25000
86, 51.250000  50.750000,0.67229,50.750000, 51.25000
87, 51.250000  51.250000,0.77341,51.250000, 51.25000
88, 51.250000  51.750000,0.75058,51.750000, 51.25000
89, 51.750000  42.750000,0.52071,42.750000, 51.75000
90, 51.750000  43.250000,0.34242,43.250000, 51.75000
91, 51.750000  43.750000,0.46937,43.750000, 51.75000
92, 51.750000  44.250000,0.3813,44.250000, 51.75000
93, 51.750000  44.750000,0.46593,44.750000, 51.75000
94, 51.750000  45.250000,0.24795,45.250000, 51.75000
95, 51.750000  47.250000,0.45944,47.250000, 51.75000
96, 51.750000  47.750000,0.70364,47.750000, 51.75000
97, 51.750000  48.250000,0.54626,48.250000, 51.75000
98, 51.750000  48.750000,0.71342,48.750000, 51.75000
99, 51.750000  49.250000,0.60852,49.250000, 51.75000
100, 51.750000  49.750000,0.59187,49.750000, 51.75000
101, 51.750000  50.250000,0.57356,50.250000, 51.75000
102, 51.750000  50.750000,0.58926,50.750000, 51.75000
103, 51.750000  51.250000,0.62743,51.250000, 51.75000
104, 51.750000  51.750000,0.65592,51.750000, 51.75000
105, 52.250000  42.250000,0.49666,42.250000, 52.25000
106, 52.250000  42.750000,0.41394,42.750000, 52.25000
107, 52.250000  43.250000,0.68518,43.250000, 52.25000
108, 52.250000  43.750000,0.42196,43.750000, 52.25000
109, 52.250000  44.250000,0.17724,44.250000, 52.25000
110, 52.250000  44.750000,0.20082,44.750000, 52.25000
111, 52.250000  45.250000,0.067092,45.250000, 52.25000
112, 52.250000  45.750000,0.37099,45.750000, 52.25000
113, 52.250000  47.250000,0.32751,47.250000, 52.25000
114, 52.250000  47.750000,0.49984,47.750000, 52.25000
115, 52.250000  48.250000,0.39274,48.250000, 52.25000
116, 52.250000  48.750000,0.24189,48.750000, 52.25000
117, 52.250000  49.250000,0.42743,49.250000, 52.25000
118, 52.250000  49.750000,0.44058,49.750000, 52.25000
119, 52.250000  50.250000,0.24045,50.250000, 52.25000
120, 52.250000  50.750000,0.47727,50.750000, 52.25000
121, 52.250000  51.250000,0.52907,51.250000, 52.25000
122, 52.250000  51.750000,0.57196,51.750000, 52.25000
123, 52.750000  41.750000,0.57859,41.750000, 52.75000
124, 52.750000  42.250000,0.49942,42.250000, 52.75000
125, 52.750000  42.750000,0.23052,42.750000, 52.75000
126, 52.750000  43.250000,0.59994,43.250000, 52.75000
127, 52.750000  43.750000,0.33088,43.750000, 52.75000
128, 52.750000  44.250000,0.049604,44.250000, 52.75000
129, 52.750000  44.750000,-0.13144,44.750000, 52.75000
130, 52.750000  45.250000,0.24747,45.250000, 52.75000
131, 52.750000  45.750000,0.5099,45.750000, 52.75000
132, 52.750000  47.250000,0.49096,47.250000, 52.75000
133, 52.750000  47.750000,0.31135,47.750000, 52.75000
134, 52.750000  48.250000,0.23348,48.250000, 52.75000
135, 52.750000  48.750000,0.24653,48.750000, 52.75000
136, 52.750000  49.250000,0.11519,49.250000, 52.75000
137, 52.750000  49.750000,0.33132,49.750000, 52.75000
138, 52.750000  50.250000,0.046793,50.250000, 52.75000
139, 52.750000  50.750000,0.1146,50.750000, 52.75000
140, 52.750000  51.250000,0.44019,51.250000, 52.75000
141, 53.250000  41.750000,0.093601,41.750000, 53.25000
142, 53.250000  42.250000,-0.13158,42.250000, 53.25000
143, 53.250000  42.750000,0.18273,42.750000, 53.25000
144, 53.250000  43.250000,0.33152,43.250000, 53.25000
145, 53.250000  43.750000,0.16615,43.750000, 53.25000
146, 53.250000  44.250000,0.0083815,44.250000, 53.25000
147, 53.250000  44.750000,-0.23164,44.750000, 53.25000
148, 53.250000  45.250000,0.063363,45.250000, 53.25000
149, 53.250000  45.750000,-0.061678,45.750000, 53.25000
150, 53.250000  46.250000,0.25446,46.250000, 53.25000
151, 53.250000  46.750000,0.17516,46.750000, 53.25000
152, 53.250000  47.250000,0.31761,47.250000, 53.25000
153, 53.250000  47.750000,0.26339,47.750000, 53.25000
154, 53.250000  48.250000,0.10478,48.250000, 53.25000
155, 53.250000  48.750000,0.14859,48.750000, 53.25000
156, 53.250000  49.250000,0.27891,49.250000, 53.25000
157, 53.250000  49.750000,0.19727,49.750000, 53.25000
158, 53.250000  50.250000,0.19259,50.250000, 53.25000
159, 53.250000  50.750000,0.23705,50.750000, 53.25000
160, 53.250000  51.250000,0.33159,51.250000, 53.25000
161, 53.750000  42.250000,0.31616,42.250000, 53.75000
162, 53.750000  42.750000,0.22233,42.750000, 53.75000
163, 53.750000  43.250000,0.24114,43.250000, 53.75000
164, 53.750000  43.750000,-0.21625,43.750000, 53.75000
165, 53.750000  44.250000,-0.36398,44.250000, 53.75000
