,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.1996,48.250000, 46.75000
2, 46.750000  48.750000,-1.2071,48.750000, 46.75000
3, 46.750000  49.250000,-1.2547,49.250000, 46.75000
4, 46.750000  49.750000,-1.2804,49.750000, 46.75000
5, 47.250000  47.750000,-1.2643,47.750000, 47.25000
6, 47.250000  48.250000,-1.2524,48.250000, 47.25000
7, 47.250000  48.750000,-1.2895,48.750000, 47.25000
8, 47.250000  49.250000,-1.1883,49.250000, 47.25000
9, 47.250000  49.750000,-1.1393,49.750000, 47.25000
10, 47.250000  50.250000,-1.2273,50.250000, 47.25000
11, 47.750000  47.750000,-1.2381,47.750000, 47.75000
12, 47.750000  48.250000,-1.3064,48.250000, 47.75000
13, 47.750000  48.750000,-1.2713,48.750000, 47.75000
14, 47.750000  49.250000,-1.2083,49.250000, 47.75000
15, 47.750000  49.750000,-1.1478,49.750000, 47.75000
16, 47.750000  50.250000,-1.1913,50.250000, 47.75000
17, 48.250000  47.750000,-1.305,47.750000, 48.25000
18, 48.250000  48.250000,-1.2105,48.250000, 48.25000
19, 48.250000  48.750000,-1.2795,48.750000, 48.25000
20, 48.250000  49.250000,-1.0972,49.250000, 48.25000
21, 48.250000  49.750000,-1.0674,49.750000, 48.25000
22, 48.250000  50.250000,-1.1655,50.250000, 48.25000
23, 48.250000  50.750000,-1.2825,50.750000, 48.25000
24, 48.750000  46.250000,-1.2951,46.250000, 48.75000
25, 48.750000  46.750000,-1.3064,46.750000, 48.75000
26, 48.750000  47.250000,-1.2936,47.250000, 48.75000
27, 48.750000  47.750000,-1.2427,47.750000, 48.75000
28, 48.750000  48.250000,-1.2821,48.250000, 48.75000
29, 48.750000  48.750000,-1.1331,48.750000, 48.75000
30, 48.750000  49.250000,-1.1081,49.250000, 48.75000
31, 48.750000  49.750000,-1.1064,49.750000, 48.75000
32, 48.750000  50.250000,-1.1597,50.250000, 48.75000
33, 48.750000  50.750000,-1.2484,50.750000, 48.75000
34, 49.250000  46.750000,-1.2862,46.750000, 49.25000
