,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-0.00028122,48.250000, 46.75000
2, 46.750000  48.750000,0.1014,48.750000, 46.75000
3, 46.750000  49.250000,0.21813,49.250000, 46.75000
4, 46.750000  49.750000,0.18953,49.750000, 46.75000
5, 47.250000  47.750000,-0.13722,47.750000, 47.25000
6, 47.250000  48.250000,-0.19279,48.250000, 47.25000
7, 47.250000  48.750000,-0.067349,48.750000, 47.25000
8, 47.250000  49.250000,-0.01111,49.250000, 47.25000
9, 47.250000  49.750000,0.12974,49.750000, 47.25000
10, 47.250000  50.250000,0.18399,50.250000, 47.25000
11, 47.750000  47.750000,-0.52317,47.750000, 47.75000
12, 47.750000  48.250000,-0.51963,48.250000, 47.75000
13, 47.750000  48.750000,-0.2566,48.750000, 47.75000
14, 47.750000  49.250000,-0.1017,49.250000, 47.75000
15, 47.750000  49.750000,0.0044925,49.750000, 47.75000
16, 47.750000  50.250000,-0.047071,50.250000, 47.75000
17, 48.250000  47.750000,-0.76319,47.750000, 48.25000
18, 48.250000  48.250000,-0.59204,48.250000, 48.25000
19, 48.250000  48.750000,-0.56054,48.750000, 48.25000
20, 48.250000  49.250000,-0.27357,49.250000, 48.25000
21, 48.250000  49.750000,-0.19477,49.750000, 48.25000
22, 48.250000  50.250000,-0.090163,50.250000, 48.25000
23, 48.250000  50.750000,-0.035305,50.750000, 48.25000
24, 48.750000  46.250000,-1.0768,46.250000, 48.75000
25, 48.750000  46.750000,-1.0138,46.750000, 48.75000
26, 48.750000  47.250000,-1.0529,47.250000, 48.75000
27, 48.750000  47.750000,-0.87188,47.750000, 48.75000
28, 48.750000  48.250000,-0.71891,48.250000, 48.75000
29, 48.750000  48.750000,-0.6297,48.750000, 48.75000
30, 48.750000  49.250000,-0.49654,49.250000, 48.75000
31, 48.750000  49.750000,-0.22355,49.750000, 48.75000
32, 48.750000  50.250000,-0.14605,50.250000, 48.75000
33, 48.750000  50.750000,-0.049731,50.750000, 48.75000
34, 49.250000  46.750000,-1.1881,46.750000, 49.25000
35, 49.250000  47.250000,-1.218,47.250000, 49.25000
36, 49.250000  47.750000,-1.0514,47.750000, 49.25000
37, 49.250000  48.250000,-1.0953,48.250000, 49.25000
38, 49.250000  48.750000,-0.85301,48.750000, 49.25000
39, 49.250000  49.250000,-0.61143,49.250000, 49.25000
40, 49.250000  49.750000,-0.3243,49.750000, 49.25000
41, 49.250000  50.250000,-0.32225,50.250000, 49.25000
42, 49.250000  50.750000,-0.19361,50.750000, 49.25000
43, 49.750000  46.750000,-1.3938,46.750000, 49.75000
44, 49.750000  47.250000,-1.2482,47.250000, 49.75000
45, 49.750000  47.750000,-1.1767,47.750000, 49.75000
46, 49.750000  48.250000,-1.0934,48.250000, 49.75000
47, 49.750000  48.750000,-0.8866,48.750000, 49.75000
48, 49.750000  49.250000,-0.73385,49.250000, 49.75000
49, 49.750000  49.750000,-0.61428,49.750000, 49.75000
50, 49.750000  50.250000,-0.40589,50.250000, 49.75000
51, 49.750000  50.750000,-0.34516,50.750000, 49.75000
52, 49.750000  51.250000,-0.10043,51.250000, 49.75000
53, 50.250000  44.250000,-1.8426,44.250000, 50.25000
54, 50.250000  44.750000,-1.7795,44.750000, 50.25000
55, 50.250000  46.750000,-1.4294,46.750000, 50.25000
56, 50.250000  47.250000,-1.3105,47.250000, 50.25000
57, 50.250000  47.750000,-1.2571,47.750000, 50.25000
58, 50.250000  48.250000,-1.1028,48.250000, 50.25000
59, 50.250000  48.750000,-0.98303,48.750000, 50.25000
60, 50.250000  49.250000,-0.89585,49.250000, 50.25000
61, 50.250000  49.750000,-0.63348,49.750000, 50.25000
62, 50.250000  50.250000,-0.5081,50.250000, 50.25000
63, 50.250000  50.750000,-0.4275,50.750000, 50.25000
64, 50.250000  51.250000,-0.2398,51.250000, 50.25000
65, 50.750000  44.250000,-1.8253,44.250000, 50.75000
66, 50.750000  44.750000,-1.8646,44.750000, 50.75000
67, 50.750000  47.250000,-1.3654,47.250000, 50.75000
68, 50.750000  47.750000,-1.3579,47.750000, 50.75000
69, 50.750000  48.250000,-1.238,48.250000, 50.75000
70, 50.750000  48.750000,-0.955,48.750000, 50.75000
71, 50.750000  49.250000,-0.93734,49.250000, 50.75000
72, 50.750000  49.750000,-0.69145,49.750000, 50.75000
73, 50.750000  50.250000,-0.66015,50.250000, 50.75000
74, 50.750000  50.750000,-0.50004,50.750000, 50.75000
75, 50.750000  51.250000,-0.26943,51.250000, 50.75000
76, 50.750000  51.750000,-0.11078,51.750000, 50.75000
77, 51.250000  44.250000,-1.8977,44.250000, 51.25000
78, 51.250000  44.750000,-1.8822,44.750000, 51.25000
79, 51.250000  47.250000,-1.4641,47.250000, 51.25000
80, 51.250000  47.750000,-1.463,47.750000, 51.25000
81, 51.250000  48.250000,-1.3515,48.250000, 51.25000
82, 51.250000  48.750000,-1.114,48.750000, 51.25000
83, 51.250000  49.250000,-0.94122,49.250000, 51.25000
84, 51.250000  49.750000,-0.85429,49.750000, 51.25000
85, 51.250000  50.250000,-0.68211,50.250000, 51.25000
86, 51.250000  50.750000,-0.49591,50.750000, 51.25000
87, 51.250000  51.250000,-0.29175,51.250000, 51.25000
88, 51.250000  51.750000,-0.15276,51.750000, 51.25000
89, 51.750000  42.750000,-1.8134,42.750000, 51.75000
90, 51.750000  43.250000,-1.9856,43.250000, 51.75000
91, 51.750000  43.750000,-1.8872,43.750000, 51.75000
92, 51.750000  44.250000,-1.9029,44.250000, 51.75000
93, 51.750000  44.750000,-1.9267,44.750000, 51.75000
94, 51.750000  45.250000,-1.8774,45.250000, 51.75000
95, 51.750000  47.250000,-1.4657,47.250000, 51.75000
96, 51.750000  47.750000,-1.3491,47.750000, 51.75000
97, 51.750000  48.250000,-1.3278,48.250000, 51.75000
98, 51.750000  48.750000,-1.2497,48.750000, 51.75000
99, 51.750000  49.250000,-1.0658,49.250000, 51.75000
100, 51.750000  49.750000,-0.97764,49.750000, 51.75000
101, 51.750000  50.250000,-0.69652,50.250000, 51.75000
102, 51.750000  50.750000,-0.60878,50.750000, 51.75000
103, 51.750000  51.250000,-0.33146,51.250000, 51.75000
104, 51.750000  51.750000,-0.19282,51.750000, 51.75000
105, 52.250000  42.250000,-1.9062,42.250000, 52.25000
106, 52.250000  42.750000,-1.995,42.750000, 52.25000
107, 52.250000  43.250000,-1.9898,43.250000, 52.25000
108, 52.250000  43.750000,-2.0239,43.750000, 52.25000
109, 52.250000  44.250000,-1.8588,44.250000, 52.25000
110, 52.250000  44.750000,-1.8807,44.750000, 52.25000
111, 52.250000  45.250000,-1.8811,45.250000, 52.25000
112, 52.250000  45.750000,-1.8327,45.750000, 52.25000
113, 52.250000  47.250000,-1.5421,47.250000, 52.25000
114, 52.250000  47.750000,-1.4572,47.750000, 52.25000
115, 52.250000  48.250000,-1.4987,48.250000, 52.25000
116, 52.250000  48.750000,-1.3795,48.750000, 52.25000
117, 52.250000  49.250000,-1.1012,49.250000, 52.25000
118, 52.250000  49.750000,-1.0314,49.750000, 52.25000
119, 52.250000  50.250000,-0.68124,50.250000, 52.25000
