,Cell,SPEI,lat,lon
1, 46.750000  48.250000,1.6857,48.250000, 46.75000
2, 46.750000  48.750000,1.7245,48.750000, 46.75000
3, 46.750000  49.250000,1.57,49.250000, 46.75000
4, 46.750000  49.750000,1.5624,49.750000, 46.75000
5, 47.250000  47.750000,1.792,47.750000, 47.25000
6, 47.250000  48.250000,1.5507,48.250000, 47.25000
7, 47.250000  48.750000,1.4819,48.750000, 47.25000
8, 47.250000  49.250000,1.383,49.250000, 47.25000
9, 47.250000  49.750000,1.4481,49.750000, 47.25000
10, 47.250000  50.250000,1.5108,50.250000, 47.25000
11, 47.750000  47.750000,1.4922,47.750000, 47.75000
12, 47.750000  48.250000,1.4864,48.250000, 47.75000
13, 47.750000  48.750000,1.6329,48.750000, 47.75000
14, 47.750000  49.250000,1.309,49.250000, 47.75000
15, 47.750000  49.750000,1.5692,49.750000, 47.75000
16, 47.750000  50.250000,1.5599,50.250000, 47.75000
17, 48.250000  47.750000,1.4626,47.750000, 48.25000
18, 48.250000  48.250000,1.3689,48.250000, 48.25000
19, 48.250000  48.750000,1.274,48.750000, 48.25000
20, 48.250000  49.250000,1.3533,49.250000, 48.25000
21, 48.250000  49.750000,1.3452,49.750000, 48.25000
22, 48.250000  50.250000,1.4599,50.250000, 48.25000
23, 48.250000  50.750000,1.5153,50.750000, 48.25000
24, 48.750000  46.250000,0.82993,46.250000, 48.75000
25, 48.750000  46.750000,1.043,46.750000, 48.75000
26, 48.750000  47.250000,1.2837,47.250000, 48.75000
27, 48.750000  47.750000,1.4506,47.750000, 48.75000
28, 48.750000  48.250000,1.3839,48.250000, 48.75000
29, 48.750000  48.750000,1.2961,48.750000, 48.75000
30, 48.750000  49.250000,1.347,49.250000, 48.75000
31, 48.750000  49.750000,1.4765,49.750000, 48.75000
32, 48.750000  50.250000,1.4171,50.250000, 48.75000
33, 48.750000  50.750000,1.437,50.750000, 48.75000
34, 49.250000  46.750000,0.88554,46.750000, 49.25000
35, 49.250000  47.250000,1.1748,47.250000, 49.25000
