,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.3586,48.250000, 46.75000
2, 46.750000  48.750000,-1.3763,48.750000, 46.75000
3, 46.750000  49.250000,-1.4406,49.250000, 46.75000
4, 46.750000  49.750000,-1.5013,49.750000, 46.75000
5, 47.250000  47.750000,-1.2372,47.750000, 47.25000
6, 47.250000  48.250000,-1.4087,48.250000, 47.25000
7, 47.250000  48.750000,-1.3771,48.750000, 47.25000
8, 47.250000  49.250000,-1.483,49.250000, 47.25000
9, 47.250000  49.750000,-1.3043,49.750000, 47.25000
10, 47.250000  50.250000,-1.4353,50.250000, 47.25000
11, 47.750000  47.750000,-1.3216,47.750000, 47.75000
12, 47.750000  48.250000,-1.444,48.250000, 47.75000
13, 47.750000  48.750000,-1.4487,48.750000, 47.75000
14, 47.750000  49.250000,-1.2832,49.250000, 47.75000
15, 47.750000  49.750000,-1.2949,49.750000, 47.75000
16, 47.750000  50.250000,-1.5026,50.250000, 47.75000
17, 48.250000  47.750000,-1.4191,47.750000, 48.25000
18, 48.250000  48.250000,-1.4647,48.250000, 48.25000
19, 48.250000  48.750000,-1.5727,48.750000, 48.25000
20, 48.250000  49.250000,-1.4746,49.250000, 48.25000
21, 48.250000  49.750000,-1.3345,49.750000, 48.25000
22, 48.250000  50.250000,-1.4769,50.250000, 48.25000
23, 48.250000  50.750000,-1.5207,50.750000, 48.25000
24, 48.750000  46.250000,-1.0273,46.250000, 48.75000
25, 48.750000  46.750000,-1.3016,46.750000, 48.75000
26, 48.750000  47.250000,-1.4889,47.250000, 48.75000
27, 48.750000  47.750000,-1.3915,47.750000, 48.75000
28, 48.750000  48.250000,-1.4918,48.250000, 48.75000
29, 48.750000  48.750000,-1.4222,48.750000, 48.75000
30, 48.750000  49.250000,-1.2177,49.250000, 48.75000
31, 48.750000  49.750000,-1.3166,49.750000, 48.75000
32, 48.750000  50.250000,-1.3205,50.250000, 48.75000
33, 48.750000  50.750000,-1.3195,50.750000, 48.75000
34, 49.250000  46.750000,-1.2679,46.750000, 49.25000
35, 49.250000  47.250000,-1.4704,47.250000, 49.25000
36, 49.250000  47.750000,-1.5636,47.750000, 49.25000
37, 49.250000  48.250000,-1.4203,48.250000, 49.25000
38, 49.250000  48.750000,-1.3047,48.750000, 49.25000
39, 49.250000  49.250000,-1.1764,49.250000, 49.25000
40, 49.250000  49.750000,-1.2968,49.750000, 49.25000
41, 49.250000  50.250000,-1.2379,50.250000, 49.25000
42, 49.250000  50.750000,-1.2765,50.750000, 49.25000
43, 49.750000  46.750000,-1.1992,46.750000, 49.75000
44, 49.750000  47.250000,-1.4251,47.250000, 49.75000
45, 49.750000  47.750000,-1.3363,47.750000, 49.75000
46, 49.750000  48.250000,-1.2843,48.250000, 49.75000
47, 49.750000  48.750000,-1.3552,48.750000, 49.75000
48, 49.750000  49.250000,-1.2387,49.250000, 49.75000
49, 49.750000  49.750000,-1.2855,49.750000, 49.75000
50, 49.750000  50.250000,-1.1676,50.250000, 49.75000
51, 49.750000  50.750000,-1.2647,50.750000, 49.75000
52, 49.750000  51.250000,-1.2437,51.250000, 49.75000
53, 50.250000  44.250000,-0.01339,44.250000, 50.25000
54, 50.250000  44.750000,-0.3583,44.750000, 50.25000
55, 50.250000  46.750000,-1.4305,46.750000, 50.25000
56, 50.250000  47.250000,-1.4393,47.250000, 50.25000
57, 50.250000  47.750000,-1.4004,47.750000, 50.25000
58, 50.250000  48.250000,-1.5057,48.250000, 50.25000
59, 50.250000  48.750000,-1.3948,48.750000, 50.25000
60, 50.250000  49.250000,-1.3094,49.250000, 50.25000
61, 50.250000  49.750000,-1.3714,49.750000, 50.25000
62, 50.250000  50.250000,-1.2236,50.250000, 50.25000
63, 50.250000  50.750000,-1.2422,50.750000, 50.25000
64, 50.250000  51.250000,-1.2602,51.250000, 50.25000
65, 50.750000  44.250000,-0.56389,44.250000, 50.75000
66, 50.750000  44.750000,-0.49046,44.750000, 50.75000
67, 50.750000  47.250000,-1.4909,47.250000, 50.75000
68, 50.750000  47.750000,-1.3164,47.750000, 50.75000
69, 50.750000  48.250000,-1.2947,48.250000, 50.75000
