,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-0.86646,48.250000, 46.75000
2, 46.750000  48.750000,-0.72616,48.750000, 46.75000
3, 46.750000  49.250000,-0.5213,49.250000, 46.75000
4, 46.750000  49.750000,-0.37264,49.750000, 46.75000
5, 47.250000  47.750000,-1.068,47.750000, 47.25000
6, 47.250000  48.250000,-0.88106,48.250000, 47.25000
7, 47.250000  48.750000,-0.70676,48.750000, 47.25000
8, 47.250000  49.250000,-0.59651,49.250000, 47.25000
9, 47.250000  49.750000,-0.3875,49.750000, 47.25000
10, 47.250000  50.250000,-0.21126,50.250000, 47.25000
11, 47.750000  47.750000,-1.0347,47.750000, 47.75000
12, 47.750000  48.250000,-0.80593,48.250000, 47.75000
13, 47.750000  48.750000,-0.6599,48.750000, 47.75000
14, 47.750000  49.250000,-0.53967,49.250000, 47.75000
15, 47.750000  49.750000,-0.40867,49.750000, 47.75000
16, 47.750000  50.250000,-0.24291,50.250000, 47.75000
17, 48.250000  47.750000,-0.96099,47.750000, 48.25000
18, 48.250000  48.250000,-0.90395,48.250000, 48.25000
19, 48.250000  48.750000,-0.75289,48.750000, 48.25000
20, 48.250000  49.250000,-0.46446,49.250000, 48.25000
21, 48.250000  49.750000,-0.38753,49.750000, 48.25000
22, 48.250000  50.250000,-0.25508,50.250000, 48.25000
23, 48.250000  50.750000,-0.064931,50.750000, 48.25000
24, 48.750000  46.250000,-0.91756,46.250000, 48.75000
25, 48.750000  46.750000,-0.90792,46.750000, 48.75000
26, 48.750000  47.250000,-0.92037,47.250000, 48.75000
27, 48.750000  47.750000,-0.84855,47.750000, 48.75000
28, 48.750000  48.250000,-0.81861,48.250000, 48.75000
29, 48.750000  48.750000,-0.66805,48.750000, 48.75000
30, 48.750000  49.250000,-0.48924,49.250000, 48.75000
31, 48.750000  49.750000,-0.35647,49.750000, 48.75000
32, 48.750000  50.250000,-0.23729,50.250000, 48.75000
33, 48.750000  50.750000,-0.10411,50.750000, 48.75000
34, 49.250000  46.750000,-0.98067,46.750000, 49.25000
35, 49.250000  47.250000,-0.82603,47.250000, 49.25000
36, 49.250000  47.750000,-0.73143,47.750000, 49.25000
37, 49.250000  48.250000,-0.70444,48.250000, 49.25000
38, 49.250000  48.750000,-0.50422,48.750000, 49.25000
39, 49.250000  49.250000,-0.5168,49.250000, 49.25000
40, 49.250000  49.750000,-0.3319,49.750000, 49.25000
41, 49.250000  50.250000,-0.23221,50.250000, 49.25000
42, 49.250000  50.750000,-0.072394,50.750000, 49.25000
43, 49.750000  46.750000,-0.8229,46.750000, 49.75000
44, 49.750000  47.250000,-0.84326,47.250000, 49.75000
45, 49.750000  47.750000,-0.79116,47.750000, 49.75000
46, 49.750000  48.250000,-0.57017,48.250000, 49.75000
47, 49.750000  48.750000,-0.57262,48.750000, 49.75000
48, 49.750000  49.250000,-0.48744,49.250000, 49.75000
49, 49.750000  49.750000,-0.26308,49.750000, 49.75000
50, 49.750000  50.250000,-0.22903,50.250000, 49.75000
