,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.2616,48.250000, 46.75000
2, 46.750000  48.750000,-0.80955,48.750000, 46.75000
3, 46.750000  49.250000,-0.71754,49.250000, 46.75000
4, 46.750000  49.750000,-0.46525,49.750000, 46.75000
5, 47.250000  47.750000,-1.1638,47.750000, 47.25000
6, 47.250000  48.250000,-1.3051,48.250000, 47.25000
7, 47.250000  48.750000,-0.97822,48.750000, 47.25000
8, 47.250000  49.250000,-1.3774,49.250000, 47.25000
9, 47.250000  49.750000,-0.75287,49.750000, 47.25000
10, 47.250000  50.250000,-0.67148,50.250000, 47.25000
11, 47.750000  47.750000,-1.3231,47.750000, 47.75000
12, 47.750000  48.250000,-1.1956,48.250000, 47.75000
13, 47.750000  48.750000,-1.2798,48.750000, 47.75000
14, 47.750000  49.250000,-1.4254,49.250000, 47.75000
15, 47.750000  49.750000,-0.95593,49.750000, 47.75000
16, 47.750000  50.250000,-1.2312,50.250000, 47.75000
17, 48.250000  47.750000,-1.0115,47.750000, 48.25000
18, 48.250000  48.250000,-1.198,48.250000, 48.25000
19, 48.250000  48.750000,-1.3385,48.750000, 48.25000
20, 48.250000  49.250000,-1.3426,49.250000, 48.25000
21, 48.250000  49.750000,-1.1154,49.750000, 48.25000
22, 48.250000  50.250000,-1.0348,50.250000, 48.25000
23, 48.250000  50.750000,-0.98427,50.750000, 48.25000
24, 48.750000  46.250000,-0.76789,46.250000, 48.75000
25, 48.750000  46.750000,-0.66696,46.750000, 48.75000
26, 48.750000  47.250000,-1.1268,47.250000, 48.75000
27, 48.750000  47.750000,-0.87477,47.750000, 48.75000
28, 48.750000  48.250000,-1.2279,48.250000, 48.75000
29, 48.750000  48.750000,-1.1336,48.750000, 48.75000
30, 48.750000  49.250000,-1.0842,49.250000, 48.75000
31, 48.750000  49.750000,-1.2306,49.750000, 48.75000
32, 48.750000  50.250000,-1.2374,50.250000, 48.75000
33, 48.750000  50.750000,-1.1231,50.750000, 48.75000
34, 49.250000  46.750000,-0.50024,46.750000, 49.25000
35, 49.250000  47.250000,-1.0444,47.250000, 49.25000
36, 49.250000  47.750000,-0.89276,47.750000, 49.25000
37, 49.250000  48.250000,-0.99554,48.250000, 49.25000
38, 49.250000  48.750000,-1.3796,48.750000, 49.25000
