,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-0.52229,48.250000, 46.75000
2, 46.750000  48.750000,-0.72876,48.750000, 46.75000
3, 46.750000  49.250000,-0.66335,49.250000, 46.75000
4, 46.750000  49.750000,-0.63344,49.750000, 46.75000
5, 47.250000  47.750000,-0.59368,47.750000, 47.25000
6, 47.250000  48.250000,-0.75593,48.250000, 47.25000
7, 47.250000  48.750000,-0.72523,48.750000, 47.25000
8, 47.250000  49.250000,-0.69769,49.250000, 47.25000
9, 47.250000  49.750000,-0.78159,49.750000, 47.25000
10, 47.250000  50.250000,-0.69736,50.250000, 47.25000
11, 47.750000  47.750000,-0.68491,47.750000, 47.75000
12, 47.750000  48.250000,-0.83731,48.250000, 47.75000
13, 47.750000  48.750000,-0.8211,48.750000, 47.75000
14, 47.750000  49.250000,-0.76236,49.250000, 47.75000
15, 47.750000  49.750000,-0.66617,49.750000, 47.75000
16, 47.750000  50.250000,-0.71086,50.250000, 47.75000
17, 48.250000  47.750000,-0.71981,47.750000, 48.25000
18, 48.250000  48.250000,-0.71152,48.250000, 48.25000
19, 48.250000  48.750000,-0.84588,48.750000, 48.25000
20, 48.250000  49.250000,-0.75167,49.250000, 48.25000
21, 48.250000  49.750000,-0.83174,49.750000, 48.25000
22, 48.250000  50.250000,-0.77089,50.250000, 48.25000
23, 48.250000  50.750000,-0.5986,50.750000, 48.25000
24, 48.750000  46.250000,-0.81893,46.250000, 48.75000
25, 48.750000  46.750000,-0.75278,46.750000, 48.75000
26, 48.750000  47.250000,-0.75453,47.250000, 48.75000
27, 48.750000  47.750000,-0.76544,47.750000, 48.75000
28, 48.750000  48.250000,-0.72452,48.250000, 48.75000
29, 48.750000  48.750000,-0.82453,48.750000, 48.75000
30, 48.750000  49.250000,-0.77564,49.250000, 48.75000
31, 48.750000  49.750000,-0.8278,49.750000, 48.75000
32, 48.750000  50.250000,-0.78408,50.250000, 48.75000
33, 48.750000  50.750000,-0.69557,50.750000, 48.75000
34, 49.250000  46.750000,-0.76695,46.750000, 49.25000
35, 49.250000  47.250000,-0.74134,47.250000, 49.25000
36, 49.250000  47.750000,-0.73758,47.750000, 49.25000
37, 49.250000  48.250000,-0.89,48.250000, 49.25000
38, 49.250000  48.750000,-0.98828,48.750000, 49.25000
39, 49.250000  49.250000,-0.77764,49.250000, 49.25000
40, 49.250000  49.750000,-0.85725,49.750000, 49.25000
41, 49.250000  50.250000,-0.80391,50.250000, 49.25000
42, 49.250000  50.750000,-0.73088,50.750000, 49.25000
43, 49.750000  46.750000,-0.77455,46.750000, 49.75000
44, 49.750000  47.250000,-0.90403,47.250000, 49.75000
45, 49.750000  47.750000,-0.91273,47.750000, 49.75000
46, 49.750000  48.250000,-0.88396,48.250000, 49.75000
47, 49.750000  48.750000,-0.90964,48.750000, 49.75000
48, 49.750000  49.250000,-0.96429,49.250000, 49.75000
49, 49.750000  49.750000,-0.91645,49.750000, 49.75000
50, 49.750000  50.250000,-0.85757,50.250000, 49.75000
51, 49.750000  50.750000,-0.76704,50.750000, 49.75000
52, 49.750000  51.250000,-0.66668,51.250000, 49.75000
53, 50.250000  44.250000,-1.0843,44.250000, 50.25000
54, 50.250000  44.750000,-1.0086,44.750000, 50.25000
55, 50.250000  46.750000,-0.86344,46.750000, 50.25000
56, 50.250000  47.250000,-0.75769,47.250000, 50.25000
57, 50.250000  47.750000,-0.80893,47.750000, 50.25000
58, 50.250000  48.250000,-0.88841,48.250000, 50.25000
59, 50.250000  48.750000,-0.87057,48.750000, 50.25000
60, 50.250000  49.250000,-1.0017,49.250000, 50.25000
61, 50.250000  49.750000,-0.84284,49.750000, 50.25000
62, 50.250000  50.250000,-0.91362,50.250000, 50.25000
63, 50.250000  50.750000,-0.85429,50.750000, 50.25000
64, 50.250000  51.250000,-0.74296,51.250000, 50.25000
65, 50.750000  44.250000,-1.1507,44.250000, 50.75000
66, 50.750000  44.750000,-1.0115,44.750000, 50.75000
